epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.306,0.97414,0.558,0.94839,0.92673,0.91513,0.96734,0.71258,0.94691,0.49717,0.83213,0.0677007,0.000998946,0.000998946
2,448.018,0.95688,0.55634,0.94393,0.90569,0.92136,0.9682,0.7178,0.91339,0.47838,0.82278,0.0351784,0.00180997,0.00180997
3,671.01,0.96586,0.53339,0.95137,0.91771,0.93727,0.97524,0.73036,0.93073,0.46538,0.82218,0.00200832,0.0019732,0.0019732
4,885.263,0.94851,0.51448,0.94443,0.94268,0.91037,0.97626,0.72394,0.92877,0.45219,0.82395,0.00105611,0.00105611,0.00105611
5,1099.86,0.9167,0.50011,0.92818,0.92826,0.93727,0.97898,0.73146,0.9059,0.44866,0.8183,0.00031361,0.00031361,0.00031361
