epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.707,0.97113,0.55482,0.94661,0.92287,0.92719,0.97138,0.71022,0.94224,0.49695,0.83353,0.0670348,0.000332982,0.000332982
2,381.38,0.95145,0.55092,0.94265,0.925,0.91021,0.97089,0.71941,0.91342,0.46978,0.82667,0.0339718,0.000603324,0.000603324
3,596.127,0.94997,0.52517,0.94681,0.94654,0.91472,0.97695,0.73055,0.9161,0.45659,0.82027,0.000692857,0.000657732,0.000657732
4,807.552,0.93738,0.50433,0.94187,0.92703,0.91144,0.97492,0.72874,0.91617,0.45201,0.81897,0.000352037,0.000352037,0.000352037
5,1022.35,0.91179,0.49723,0.92639,0.90724,0.9383,0.97509,0.73024,0.90559,0.44712,0.81717,0.000104537,0.000104537,0.000104537
