epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.89,1.97514,4.42054,1.46252,0.8081,0.66531,0.76229,0.47718,1.12413,1.26501,0.90104,0.067705,0.000998815,0.000998815
2,632.385,1.55078,1.16726,1.15844,0.79595,0.67232,0.79539,0.47082,1.17202,0.85411,0.93417,0.0353617,0.00198892,0.00198892
3,943.253,1.63433,1.24896,1.24222,0.75427,0.6613,0.74035,0.44517,1.22535,2.00484,0.98353,0.00300862,0.00296913,0.00296913
4,1241.57,1.66114,1.28953,1.2596,0.72841,0.67325,0.72304,0.43707,1.25611,0.94017,0.98996,0.00295545,0.00295545,0.00295545
5,1539.02,1.59392,1.18184,1.22445,0.76281,0.55296,0.67957,0.40524,1.30478,1.09717,0.99075,0.0029406,0.0029406,0.0029406
6,1841.94,1.59284,1.10187,1.20805,0.83605,0.74686,0.8614,0.53518,1.12922,0.7269,0.92291,0.00292575,0.00292575,0.00292575
7,2146.67,1.52665,1.05913,1.1643,0.80085,0.74865,0.83775,0.51344,1.17007,0.75088,0.91355,0.0029109,0.0029109,0.0029109
8,2442.62,1.4541,0.96468,1.14226,0.85434,0.78995,0.86739,0.53257,1.15275,0.64611,0.90052,0.00289605,0.00289605,0.00289605
9,2735.35,1.44652,0.96367,1.13164,0.65854,0.39819,0.51073,0.29224,1.38737,2.02886,1.04128,0.0028812,0.0028812,0.0028812
10,3024.72,1.38802,0.88518,1.11232,0.80352,0.73429,0.86292,0.56659,1.08016,0.70514,0.8764,0.00286635,0.00286635,0.00286635
11,3326.14,1.41361,0.91844,1.1226,0.82911,0.87433,0.91617,0.58289,1.03774,0.58629,0.88708,0.0028515,0.0028515,0.0028515
12,3624.07,1.32313,0.84819,1.08853,0.87102,0.77593,0.89521,0.57157,1.0595,0.61452,0.88165,0.00283665,0.00283665,0.00283665
13,3921.25,1.3304,0.85738,1.07479,0.80731,0.84381,0.90763,0.59308,1.00639,0.59014,0.83729,0.0028218,0.0028218,0.0028218
14,4216.33,1.32256,0.83982,1.08929,0.88572,0.83303,0.93952,0.64718,0.89514,0.54845,0.80029,0.00280695,0.00280695,0.00280695
15,4450.32,1.28416,0.8017,1.05898,0.85958,0.87921,0.93068,0.62753,0.92991,0.58062,0.81342,0.0027921,0.0027921,0.0027921
16,4663.74,1.28161,0.78696,1.06258,0.88454,0.85099,0.92329,0.60259,0.98871,0.58411,0.83065,0.00277725,0.00277725,0.00277725
17,4869.79,1.25989,0.79199,1.04316,0.84274,0.89946,0.93047,0.61253,0.98041,0.53932,0.83017,0.0027624,0.0027624,0.0027624
18,5076.66,1.24409,0.78018,1.03909,0.86033,0.87367,0.93805,0.63461,0.96188,0.56667,0.82619,0.00274755,0.00274755,0.00274755
19,5283.17,1.22775,0.77565,1.04549,0.85227,0.92185,0.94984,0.66416,0.89087,0.5264,0.80295,0.0027327,0.0027327,0.0027327
20,5494.55,1.23041,0.77195,1.04472,0.84767,0.91912,0.93404,0.65306,0.8985,0.51823,0.80527,0.00271785,0.00271785,0.00271785
21,5702.26,1.22561,0.76136,1.03584,0.85535,0.91203,0.95266,0.65467,0.89491,0.5135,0.79319,0.002703,0.002703,0.002703
22,5910.32,1.2407,0.75285,1.03736,0.86155,0.91612,0.95116,0.65763,0.92651,0.5498,0.81141,0.00268815,0.00268815,0.00268815
23,6116.58,1.18543,0.73708,1.03229,0.87003,0.92639,0.95772,0.67708,0.87664,0.49932,0.78807,0.0026733,0.0026733,0.0026733
24,6327.94,1.19089,0.72823,1.03654,0.88484,0.92428,0.96393,0.68153,0.84108,0.46996,0.77626,0.00265845,0.00265845,0.00265845
25,6533.67,1.21001,0.73693,1.02985,0.89136,0.92819,0.96275,0.68632,0.83921,0.46226,0.79731,0.0026436,0.0026436,0.0026436
26,6741.29,1.17073,0.72694,1.01361,0.87581,0.94255,0.9596,0.68618,0.84517,0.48814,0.78864,0.00262875,0.00262875,0.00262875
27,6945.99,1.16855,0.69753,1.00477,0.89004,0.95908,0.9722,0.7078,0.84227,0.44852,0.78636,0.0026139,0.0026139,0.0026139
28,7157.67,1.14377,0.69098,1.01092,0.91105,0.94255,0.96653,0.68844,0.83321,0.44987,0.77617,0.00259905,0.00259905,0.00259905
29,7364.54,1.17849,0.72321,1.02308,0.90982,0.92639,0.97279,0.70255,0.81664,0.49579,0.7678,0.0025842,0.0025842,0.0025842
30,7572.22,1.1414,0.68983,1.00821,0.89882,0.95688,0.96781,0.70746,0.82063,0.45171,0.77591,0.00256935,0.00256935,0.00256935
31,7779.19,1.17328,0.68917,1.01289,0.91105,0.96768,0.97484,0.71015,0.8232,0.42247,0.77665,0.0025545,0.0025545,0.0025545
32,7989.1,1.13961,0.66789,1.00238,0.90738,0.9605,0.97762,0.70965,0.82326,0.45517,0.77142,0.00253965,0.00253965,0.00253965
