epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.246,1.13705,0.67768,1.00308,0.78177,0.8524,0.88203,0.53747,1.24434,0.74048,0.99319,0.1,0.0332982,0.0332982
2,617.774,1.4513,1.01253,1.15497,0.62663,0.60072,0.63505,0.29768,1.64299,1.44228,1.24635,0.0937009,0.0603324,0.0603324
3,912.793,1.64483,1.20979,1.26508,0.29904,0.46125,0.3797,0.23885,1.65138,3.32796,1.25111,0.0658084,0.0657732,0.0657732
4,1218.49,1.5576,1.1059,1.20487,0.72607,0.67897,0.7228,0.40371,1.47125,1.06467,1.12048,0.0352037,0.0352037,0.0352037
5,1511.88,1.29687,0.83579,1.07277,0.8738,0.89427,0.94381,0.60806,1.07764,0.61912,0.9192,0.0104537,0.0104537,0.0104537
