epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.121,0.89809,0.49989,0.91739,0.93766,0.94351,0.97871,0.73717,0.90347,0.48483,0.82432,0.0733614,0.00665964,0.00665964
2,387.851,0.9368,0.52776,0.93374,0.95821,0.94465,0.98398,0.70155,0.94125,0.44584,0.83928,0.0454349,0.0120665,0.0120665
3,575.682,1.02227,0.57784,0.97343,0.92835,0.8524,0.95477,0.68929,0.97393,0.53084,0.84228,0.0131898,0.0131546,0.0131546
4,762.446,1.00978,0.58319,0.96615,0.90441,0.94465,0.97276,0.70685,0.9536,0.48231,0.84027,0.00704073,0.00704073,0.00704073
5,948.812,0.91331,0.51486,0.92657,0.91914,0.96468,0.98037,0.74794,0.8698,0.41156,0.80716,0.00209073,0.00209073,0.00209073
