epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.997,1.96873,4.5796,1.46195,0.74312,0.73968,0.8095,0.48408,1.02699,0.7804,0.85249,0.067705,0.000998815,0.000998815
2,204.639,1.46342,1.17851,1.11437,0.7985,0.61939,0.74263,0.40853,1.12626,0.95009,0.9162,0.0353617,0.00198892,0.00198892
3,301.133,1.60924,1.21718,1.20552,0.56467,0.4237,0.47337,0.24441,1.46843,1.24131,1.15488,0.00300862,0.00296913,0.00296913
4,507.329,1.70222,1.30815,1.27176,0.75604,0.61201,0.69113,0.37894,1.2425,0.97839,1.01797,0.00295545,0.00295545,0.00295545
5,820.717,1.62914,1.20159,1.24169,0.84039,0.79713,0.87422,0.50547,1.07195,0.75333,0.89767,0.0029406,0.0029406,0.0029406
6,1121.35,1.53214,1.07671,1.17933,0.91466,0.72531,0.87448,0.55797,0.99268,0.64889,0.85287,0.00292575,0.00292575,0.00292575
7,1420.14,1.45779,1.02248,1.13408,0.78927,0.79533,0.8535,0.53671,0.98929,0.6515,0.8498,0.0029109,0.0029109,0.0029109
8,1732.18,1.46976,0.98013,1.15103,0.86799,0.79713,0.89592,0.55807,1.01118,0.72127,0.85977,0.00289605,0.00289605,0.00289605
9,2034.9,1.42271,0.95685,1.12318,0.80341,0.73609,0.84394,0.51714,1.04001,0.67199,0.88064,0.0028812,0.0028812,0.0028812
10,2336.91,1.39635,0.91692,1.11092,0.87953,0.85099,0.92164,0.6001,0.90788,0.56411,0.79301,0.00286635,0.00286635,0.00286635
11,2644.86,1.38154,0.88606,1.09928,0.88162,0.8557,0.92413,0.60417,0.91912,0.55716,0.7973,0.0028515,0.0028515,0.0028515
12,2947.66,1.34676,0.86343,1.08451,0.86987,0.84006,0.89889,0.59,0.91599,0.55378,0.81121,0.00283665,0.00283665,0.00283665
13,3096.8,1.32449,0.861,1.07648,0.85751,0.87433,0.92082,0.60766,0.90049,0.55519,0.79555,0.0028218,0.0028218,0.0028218
14,3193.18,1.36637,0.87294,1.09536,0.88222,0.82765,0.92614,0.62802,0.87782,0.52379,0.78561,0.00280695,0.00280695,0.00280695
15,3289.15,1.34217,0.83605,1.08858,0.89647,0.84919,0.93127,0.61506,0.9036,0.52692,0.7906,0.0027921,0.0027921,0.0027921
16,3384.95,1.29416,0.81637,1.06964,0.90883,0.88151,0.94027,0.61714,0.88319,0.51719,0.77803,0.00277725,0.00277725,0.00277725
