epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.767,0.97832,0.56167,0.95003,0.88004,0.97048,0.97343,0.70091,0.95788,0.5073,0.8362,0.0700316,0.00332982,0.00332982
2,552.442,0.99207,0.57851,0.95224,0.91418,0.9262,0.96715,0.70488,0.94841,0.50422,0.84392,0.0394017,0.00603324,0.00603324
3,855.619,1.03859,0.5939,0.97538,0.87882,0.94096,0.96678,0.689,1.00433,0.51374,0.84902,0.00661245,0.00657732,0.00657732
4,1143.16,1.01357,0.56822,0.96468,0.93027,0.93358,0.97784,0.71244,0.93091,0.46659,0.8275,0.00352037,0.00352037,0.00352037
5,1433.64,0.95083,0.53063,0.94041,0.91618,0.94465,0.9777,0.72223,0.89873,0.45867,0.81959,0.00104537,0.00104537,0.00104537
