epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.367,0.97104,0.55476,0.94721,0.92272,0.9262,0.97351,0.7085,0.94584,0.51044,0.83558,0.0668017,9.98946e-05,9.98946e-05
2,217.577,0.95092,0.55111,0.94333,0.90449,0.92989,0.96873,0.71872,0.91046,0.47197,0.82356,0.0335495,0.000180997,0.000180997
3,321.208,0.94919,0.5238,0.9464,0.90109,0.9631,0.97515,0.73046,0.90949,0.45326,0.81917,0.000232444,0.00019732,0.00019732
4,423.963,0.93567,0.50421,0.94284,0.917,0.93768,0.97604,0.72968,0.9112,0.44764,0.81694,0.000105611,0.000105611,0.000105611
5,527.14,0.91304,0.49939,0.92692,0.91518,0.93727,0.97635,0.73102,0.90926,0.44817,0.81698,3.1361e-05,3.1361e-05,3.1361e-05
