epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.611,0.87423,0.48202,0.9106,0.91739,0.9631,0.97864,0.74914,0.8819,0.43794,0.81399,0.0677007,0.000998946,0.000998946
2,383.022,0.84213,0.46922,0.90488,0.91327,0.97138,0.97937,0.74251,0.87613,0.41674,0.81471,0.0351784,0.00180997,0.00180997
3,569.517,0.84654,0.45406,0.91164,0.90284,0.96014,0.97902,0.75776,0.8735,0.40666,0.8117,0.00200832,0.0019732,0.0019732
4,755.461,0.82936,0.42934,0.90851,0.91907,0.9631,0.98367,0.7617,0.87123,0.38876,0.80836,0.00105611,0.00105611,0.00105611
5,942.142,0.80839,0.42177,0.89334,0.93571,0.9667,0.98233,0.76385,0.84559,0.37861,0.79861,0.00031361,0.00031361,0.00031361
