epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.724,0.91132,0.51299,0.9199,0.91502,0.90775,0.96655,0.70525,0.97205,0.48705,0.84772,0.0766913,0.00998946,0.00998946
2,386.749,0.99638,0.56955,0.95408,0.8742,0.87823,0.94036,0.58923,1.19994,0.65437,0.96761,0.0514682,0.0180997,0.0180997
3,574.345,1.13366,0.66814,1.00961,0.87422,0.82072,0.89333,0.61125,1.13046,0.69733,0.91696,0.0197671,0.019732,0.019732
4,760.799,1.10673,0.65615,1.00261,0.9178,0.90642,0.95155,0.63384,1.13212,0.59389,0.92612,0.0105611,0.0105611,0.0105611
5,947.05,0.97071,0.5478,0.94597,0.9388,0.96228,0.97762,0.72826,0.90316,0.43962,0.82155,0.0031361,0.0031361,0.0031361
