epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.233,2.00768,4.376,1.46762,0.65484,0.64695,0.68605,0.38776,1.15561,0.96064,0.93295,0.067705,0.000998815,0.000998815
2,212.088,1.4868,1.17268,1.14356,0.72304,0.62724,0.70226,0.36442,1.39156,1.13871,1.00023,0.0353617,0.00198892,0.00198892
3,312.688,1.61508,1.27438,1.20473,0.24755,0.08602,0.06992,0.02799,2.27513,3.34238,1.66424,0.00300862,0.00296913,0.00296913
4,411.511,1.62683,1.2968,1.23856,0,0,0,0,2.37532,6.01693,1.6027,0.00295545,0.00295545,0.00295545
5,510.338,1.61632,1.16826,1.21894,0.6771,0.50896,0.60856,0.2991,1.45917,1.3672,1.12219,0.0029406,0.0029406,0.0029406
6,609.618,1.5288,1.09262,1.1777,0.87127,0.71565,0.85574,0.49972,1.19951,0.92513,0.96,0.00292575,0.00292575,0.00292575
7,708.509,1.51884,1.0627,1.16921,0.80979,0.73297,0.81515,0.47061,1.28851,0.86183,0.99763,0.0029109,0.0029109,0.0029109
8,807.118,1.45212,0.97568,1.1354,0.63847,0.70896,0.71531,0.38047,1.24522,1.03075,0.96023,0.00289605,0.00289605,0.00289605
9,904.94,1.4098,0.9455,1.10898,0.25326,0.41756,0.37053,0.20158,1.41579,3.58193,1.0573,0.0028812,0.0028812,0.0028812
10,1003.03,1.40641,0.90407,1.11004,0.83487,0.87455,0.91497,0.5962,1.03501,0.64832,0.86564,0.00286635,0.00286635,0.00286635
11,1101.1,1.33468,0.87289,1.08969,0.74081,0.75296,0.8242,0.55279,1.08604,0.88016,0.88586,0.0028515,0.0028515,0.0028515
12,1200.26,1.36111,0.8749,1.09991,0.77097,0.85061,0.88178,0.58945,1.00988,0.70491,0.8574,0.00283665,0.00283665,0.00283665
13,1299.11,1.34212,0.85988,1.07084,0.87252,0.87087,0.93687,0.64043,0.96129,0.57423,0.8264,0.0028218,0.0028218,0.0028218
14,1398.79,1.30631,0.85648,1.07322,0.894,0.89175,0.94279,0.63042,0.97784,0.60896,0.84284,0.00280695,0.00280695,0.00280695
15,1498.42,1.27271,0.79836,1.04704,0.89246,0.89235,0.94337,0.64708,0.93995,0.57476,0.82991,0.0027921,0.0027921,0.0027921
16,1598.09,1.28769,0.79163,1.06058,0.84411,0.90246,0.94218,0.62977,0.9917,0.61326,0.85486,0.00277725,0.00277725,0.00277725
17,1697.32,1.27544,0.81205,1.04879,0.88071,0.87814,0.94556,0.63718,0.97477,0.55169,0.84397,0.0027624,0.0027624,0.0027624
18,1795.62,1.242,0.77316,1.03102,0.87482,0.91426,0.94698,0.64434,0.94607,0.60157,0.81742,0.00274755,0.00274755,0.00274755
19,1894.65,1.22267,0.77081,1.02771,0.87948,0.9086,0.94934,0.65823,0.90766,0.51316,0.81438,0.0027327,0.0027327,0.0027327
20,1992.57,1.24121,0.77307,1.03269,0.88253,0.88863,0.95118,0.65832,0.91233,0.53643,0.80807,0.00271785,0.00271785,0.00271785
21,2091.12,1.21711,0.76359,1.04645,0.87874,0.90502,0.95028,0.67328,0.86538,0.52707,0.80332,0.002703,0.002703,0.002703
22,2189.45,1.22048,0.76898,1.03456,0.86142,0.92294,0.95758,0.66603,0.89235,0.54661,0.81009,0.00268815,0.00268815,0.00268815
23,2287.88,1.18985,0.74509,1.02435,0.85808,0.92101,0.95382,0.65703,0.9221,0.52308,0.8179,0.0026733,0.0026733,0.0026733
24,2386.62,1.18554,0.73064,1.01842,0.91003,0.92448,0.97004,0.68756,0.86682,0.51069,0.79767,0.00265845,0.00265845,0.00265845
25,2485.03,1.19534,0.74055,1.03656,0.89598,0.91072,0.96088,0.67395,0.89397,0.50238,0.81109,0.0026436,0.0026436,0.0026436
26,2583.69,1.18717,0.72129,1.02988,0.89729,0.9237,0.96498,0.6911,0.85699,0.47336,0.79165,0.00262875,0.00262875,0.00262875
27,2683.39,1.16969,0.70998,1.00915,0.91639,0.88389,0.95475,0.68193,0.85542,0.48393,0.78521,0.0026139,0.0026139,0.0026139
28,2782.34,1.17753,0.7204,1.0104,0.89622,0.92652,0.97416,0.69073,0.86702,0.46183,0.79627,0.00259905,0.00259905,0.00259905
29,2881.36,1.17823,0.71058,1.01562,0.91255,0.89768,0.96559,0.70048,0.84517,0.48213,0.78149,0.0025842,0.0025842,0.0025842
30,2980.6,1.15072,0.67794,1.00387,0.89297,0.91204,0.96289,0.69397,0.83797,0.46722,0.79061,0.00256935,0.00256935,0.00256935
31,3079.3,1.1346,0.68668,0.9842,0.87827,0.94444,0.96595,0.70801,0.81472,0.45835,0.77673,0.0025545,0.0025545,0.0025545
32,3178.55,1.17737,0.70154,1.00869,0.90213,0.92652,0.97543,0.71275,0.82644,0.45618,0.77671,0.00253965,0.00253965,0.00253965
33,3277.18,1.10966,0.65138,0.99167,0.92372,0.93321,0.97443,0.71407,0.804,0.46857,0.77792,0.0025248,0.0025248,0.0025248
34,3375.48,1.10158,0.66121,0.98633,0.91525,0.929,0.97684,0.72062,0.80015,0.43783,0.7667,0.00250995,0.00250995,0.00250995
35,3474.25,1.12553,0.6505,1.00217,0.93405,0.9086,0.97375,0.71875,0.78633,0.43801,0.76461,0.0024951,0.0024951,0.0024951
36,3572.81,1.1337,0.6684,0.98976,0.90901,0.93094,0.97555,0.70698,0.79439,0.44468,0.76878,0.00248025,0.00248025,0.00248025
37,3671.17,1.12723,0.66616,0.99123,0.9123,0.93213,0.97561,0.71369,0.79953,0.45616,0.77164,0.0024654,0.0024654,0.0024654
38,3769.65,1.10228,0.65658,0.98475,0.92316,0.94739,0.97554,0.72236,0.79883,0.43261,0.76961,0.00245055,0.00245055,0.00245055
39,3868.39,1.10691,0.64281,0.99205,0.92628,0.93548,0.97769,0.71852,0.78924,0.43648,0.76604,0.0024357,0.0024357,0.0024357
40,3967.34,1.10245,0.62968,0.97564,0.90912,0.94444,0.9757,0.72102,0.79346,0.43724,0.76465,0.00242085,0.00242085,0.00242085
41,4066.71,1.09332,0.65582,0.99197,0.90465,0.93515,0.97489,0.72751,0.81412,0.43404,0.76527,0.002406,0.002406,0.002406
42,4166.49,1.10002,0.62686,0.99262,0.91538,0.94624,0.97826,0.73454,0.7852,0.4401,0.75856,0.00239115,0.00239115,0.00239115
43,4265.98,1.06514,0.64486,0.96845,0.92097,0.93983,0.9774,0.73483,0.77612,0.4141,0.75672,0.0023763,0.0023763,0.0023763
44,4364.68,1.08538,0.64969,0.97467,0.91886,0.93907,0.97898,0.74092,0.75866,0.413,0.75222,0.00236145,0.00236145,0.00236145
45,4463.68,1.08049,0.61899,0.97766,0.91878,0.93252,0.97814,0.73849,0.76749,0.41085,0.75444,0.0023466,0.0023466,0.0023466
46,4562.84,1.05674,0.61381,0.98346,0.90673,0.94803,0.975,0.73647,0.77018,0.40764,0.75606,0.00233175,0.00233175,0.00233175
47,4661.81,1.08767,0.62833,0.97504,0.89762,0.95842,0.97862,0.73905,0.76742,0.41035,0.75269,0.0023169,0.0023169,0.0023169
48,4760.09,1.03425,0.62166,0.95874,0.91467,0.94132,0.9796,0.74008,0.7641,0.412,0.75225,0.00230205,0.00230205,0.00230205
49,4859.02,1.04444,0.60633,0.96752,0.90814,0.96057,0.97926,0.74597,0.75539,0.40378,0.75137,0.0022872,0.0022872,0.0022872
50,4957.47,1.09414,0.64291,0.9738,0.90921,0.95878,0.98098,0.7411,0.75829,0.41134,0.75052,0.00227235,0.00227235,0.00227235
51,5056.25,1.05468,0.62516,0.97266,0.9103,0.94444,0.97943,0.74549,0.75534,0.40513,0.75,0.0022575,0.0022575,0.0022575
52,5154.8,1.05267,0.59929,0.96832,0.92616,0.9319,0.97893,0.75195,0.74754,0.39479,0.74673,0.00224265,0.00224265,0.00224265
53,5253.63,1.01637,0.59207,0.93969,0.92231,0.93548,0.97877,0.75271,0.74247,0.3929,0.74834,0.0022278,0.0022278,0.0022278
54,5353.2,1.03436,0.59664,0.96164,0.92266,0.94077,0.97814,0.75047,0.74094,0.39623,0.74975,0.00221295,0.00221295,0.00221295
55,5452.55,1.03766,0.60306,0.96224,0.91999,0.94788,0.97972,0.75498,0.74175,0.39381,0.75082,0.0021981,0.0021981,0.0021981
56,5551.19,1.0271,0.61035,0.96404,0.91855,0.94991,0.9802,0.75683,0.73966,0.39345,0.74937,0.00218325,0.00218325,0.00218325
57,5650.43,1.04608,0.61292,0.97665,0.92204,0.95383,0.98093,0.75936,0.74055,0.39229,0.7501,0.0021684,0.0021684,0.0021684
58,5749.51,1.01651,0.5874,0.95762,0.91932,0.94982,0.98024,0.75623,0.73686,0.3926,0.74883,0.00215355,0.00215355,0.00215355
59,5848.77,1.02632,0.59301,0.95257,0.92341,0.94444,0.9807,0.75753,0.73297,0.39056,0.74638,0.0021387,0.0021387,0.0021387
60,5948.41,1.05415,0.59317,0.97058,0.92633,0.94648,0.98116,0.76188,0.72404,0.3866,0.74361,0.00212385,0.00212385,0.00212385
61,6047.65,1.01759,0.57122,0.9594,0.92354,0.94803,0.98181,0.76133,0.72119,0.38602,0.74296,0.002109,0.002109,0.002109
62,6146.31,1.01486,0.58605,0.96188,0.92165,0.94868,0.98281,0.76209,0.72086,0.3855,0.74236,0.00209415,0.00209415,0.00209415
63,6245.27,1.02649,0.57752,0.95181,0.92166,0.94884,0.98259,0.76447,0.71704,0.38118,0.74108,0.0020793,0.0020793,0.0020793
64,6344.09,0.99515,0.56987,0.94492,0.92139,0.94526,0.98222,0.76707,0.71561,0.37842,0.7398,0.00206445,0.00206445,0.00206445
65,6442.65,0.97409,0.55834,0.92464,0.93645,0.93728,0.9827,0.76577,0.71412,0.3743,0.73924,0.0020496,0.0020496,0.0020496
66,6541.15,1.02752,0.57686,0.96918,0.92992,0.94803,0.98311,0.76691,0.71742,0.37638,0.73969,0.00203475,0.00203475,0.00203475
67,6639.44,0.99446,0.56379,0.95832,0.93511,0.94803,0.98343,0.76501,0.71626,0.37432,0.73949,0.0020199,0.0020199,0.0020199
68,6737.99,0.97607,0.55942,0.94843,0.92865,0.95633,0.98362,0.76524,0.71578,0.37212,0.73914,0.00200505,0.00200505,0.00200505
69,6836.43,0.99235,0.5585,0.94942,0.9271,0.95878,0.98352,0.76801,0.71277,0.3704,0.73752,0.0019902,0.0019902,0.0019902
70,6935.14,0.98907,0.55004,0.94667,0.94397,0.93592,0.98358,0.76764,0.71634,0.36774,0.73901,0.00197535,0.00197535,0.00197535
71,7033.99,1.0109,0.56263,0.95945,0.94564,0.9319,0.98374,0.76802,0.7155,0.36609,0.73915,0.0019605,0.0019605,0.0019605
72,7133.27,1.00588,0.55567,0.94873,0.9475,0.93788,0.98448,0.77002,0.71546,0.36557,0.73953,0.00194565,0.00194565,0.00194565
73,7232.78,1.00207,0.58611,0.94874,0.94756,0.93907,0.98482,0.77044,0.71247,0.36563,0.73855,0.0019308,0.0019308,0.0019308
74,7332.37,0.95767,0.54553,0.93488,0.94728,0.93907,0.98498,0.77109,0.71131,0.36279,0.73795,0.00191595,0.00191595,0.00191595
75,7431.24,0.98901,0.56508,0.94427,0.94763,0.94041,0.98526,0.7722,0.70834,0.36121,0.73697,0.0019011,0.0019011,0.0019011
76,7529.91,0.99508,0.56465,0.93801,0.94607,0.94322,0.98548,0.77279,0.70793,0.36043,0.73659,0.00188625,0.00188625,0.00188625
77,7628.62,0.95005,0.53768,0.95372,0.94686,0.94265,0.98576,0.77475,0.70706,0.35937,0.73616,0.0018714,0.0018714,0.0018714
