epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.16,1.01019,0.58064,0.95984,0.89113,0.90406,0.94416,0.64536,1.07237,0.56213,0.8762,0.0766913,0.00998946,0.00998946
2,607.403,1.1068,0.67233,0.99463,0.87125,0.85609,0.94508,0.63824,1.07844,0.63581,0.9051,0.0514682,0.0180997,0.0180997
3,913.555,1.22079,0.74681,1.04932,0.81819,0.82657,0.90589,0.59044,1.16738,0.69,0.93986,0.0197671,0.019732,0.019732
4,1209.26,1.19833,0.7273,1.03175,0.85129,0.86347,0.91681,0.58569,1.1777,0.64908,0.94787,0.0105611,0.0105611,0.0105611
5,1506.43,1.06406,0.61238,0.97959,0.91055,0.88561,0.96325,0.67506,0.97571,0.52469,0.85749,0.0031361,0.0031361,0.0031361
