epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.501,1.80298,4.2487,1.34114,0.71187,0.65689,0.74147,0.38305,0.72124,0.57602,0.52027,0.00333017,0.00333017,0.00333017
2,486.391,1.82106,1.50314,1.32797,0.65299,0.42672,0.45214,0.22004,0.9397,0.90142,0.68335,0.00663712,0.00663712,0.00663712
3,720.2,1.88784,1.6246,1.38264,0.33573,0.11877,0.1267,0.05902,0.99905,1.73998,0.72517,0.00991766,0.00991766,0.00991766
4,956.205,1.84331,1.43784,1.35019,0.72197,0.62756,0.72872,0.42246,0.72776,0.84025,0.5346,0.0098812,0.0098812,0.0098812
5,1192.02,1.68509,1.26133,1.26675,0.87248,0.65303,0.82298,0.50822,0.64585,0.62733,0.48847,0.0098416,0.0098416,0.0098416
6,1424.54,1.60034,1.17732,1.21321,0.79994,0.80775,0.86165,0.53302,0.6455,0.44167,0.47367,0.009802,0.009802,0.009802
7,1656.67,1.50827,1.0305,1.16054,0.84037,0.7839,0.87266,0.53601,0.63898,0.42023,0.48177,0.0097624,0.0097624,0.0097624
8,1889.48,1.5083,1.00766,1.17152,0.7827,0.84428,0.89567,0.56044,0.60149,0.42957,0.4612,0.0097228,0.0097228,0.0097228
9,2122.12,1.48389,0.99164,1.15597,0.81332,0.88554,0.91138,0.5852,0.58272,0.413,0.4535,0.0096832,0.0096832,0.0096832
10,2354.84,1.41814,0.92588,1.12354,0.86511,0.85002,0.91328,0.58527,0.57979,0.39623,0.44966,0.0096436,0.0096436,0.0096436
11,2587.35,1.40847,0.91851,1.1235,0.85938,0.89032,0.93065,0.6074,0.56853,0.37906,0.43929,0.009604,0.009604,0.009604
12,2819.96,1.37011,0.88022,1.09498,0.84326,0.88518,0.92341,0.61533,0.53665,0.45706,0.43396,0.0095644,0.0095644,0.0095644
13,3053.42,1.33122,0.8665,1.08748,0.84487,0.88916,0.92818,0.62117,0.52966,0.36362,0.42993,0.0095248,0.0095248,0.0095248
14,3285.86,1.33833,0.86608,1.08461,0.86455,0.88303,0.93275,0.62303,0.5382,0.33122,0.43007,0.0094852,0.0094852,0.0094852
15,3518.31,1.32361,0.85001,1.07787,0.82645,0.89738,0.93176,0.64331,0.51362,0.33537,0.42131,0.0094456,0.0094456,0.0094456
16,3751.39,1.31167,0.83246,1.07207,0.8543,0.91532,0.94105,0.64432,0.52605,0.32661,0.42329,0.009406,0.009406,0.009406
17,3983.95,1.29465,0.8185,1.08116,0.87835,0.88877,0.94027,0.64985,0.50921,0.30145,0.41802,0.0093664,0.0093664,0.0093664
18,4216.14,1.28373,0.81836,1.06993,0.86848,0.84751,0.93635,0.64925,0.49944,0.3203,0.41938,0.0093268,0.0093268,0.0093268
19,4448.22,1.29089,0.80098,1.05712,0.8977,0.88789,0.95209,0.66506,0.50312,0.30061,0.41674,0.0092872,0.0092872,0.0092872
20,4680.42,1.25876,0.78403,1.05081,0.87414,0.92454,0.95169,0.67617,0.4976,0.29508,0.40975,0.0092476,0.0092476,0.0092476
21,4912.66,1.23973,0.75068,1.05668,0.87896,0.91245,0.95774,0.68307,0.47466,0.28892,0.40407,0.009208,0.009208,0.009208
22,5145.02,1.25041,0.78711,1.04794,0.87466,0.92501,0.94998,0.67843,0.47155,0.29957,0.40414,0.0091684,0.0091684,0.0091684
23,5376.94,1.24029,0.74938,1.03597,0.89472,0.92609,0.96522,0.69309,0.47886,0.29977,0.40518,0.0091288,0.0091288,0.0091288
24,5609.05,1.25952,0.76357,1.04098,0.91019,0.92,0.96469,0.69446,0.47374,0.27869,0.40233,0.0090892,0.0090892,0.0090892
25,5841.4,1.21935,0.75271,1.03209,0.90085,0.92582,0.95862,0.69561,0.4617,0.28122,0.40021,0.0090496,0.0090496,0.0090496
26,6073.35,1.22288,0.7458,1.03328,0.90412,0.92702,0.96414,0.70128,0.46232,0.25904,0.39748,0.00901,0.00901,0.00901
27,6305.6,1.20973,0.74624,1.02117,0.89378,0.92716,0.96652,0.70624,0.44981,0.26743,0.39323,0.0089704,0.0089704,0.0089704
28,6538.21,1.21017,0.73138,1.03291,0.90803,0.92814,0.96977,0.70843,0.44931,0.26263,0.39188,0.0089308,0.0089308,0.0089308
29,6770.81,1.18278,0.71505,1.01946,0.92165,0.9285,0.97164,0.71725,0.44747,0.26377,0.38984,0.0088912,0.0088912,0.0088912
30,7002.73,1.20149,0.72903,1.02649,0.91626,0.91317,0.96938,0.71627,0.44164,0.25102,0.39159,0.0088516,0.0088516,0.0088516
31,7234.61,1.19547,0.71478,1.02175,0.91049,0.93685,0.97251,0.72266,0.4387,0.24609,0.38877,0.008812,0.008812,0.008812
32,7466.64,1.20478,0.75011,1.02803,0.92315,0.93793,0.97272,0.71856,0.44269,0.25621,0.38923,0.0087724,0.0087724,0.0087724
