epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12214,1.09974,0.62259,0.97219,0.90262,0.94444,0.97301,0.7212,0.7922,0.42961,0.75571,0.00239115,0.00239115,0.00239115
43,12311.6,1.10905,0.65102,0.99285,0.90381,0.93728,0.96407,0.71365,0.79512,0.43075,0.76017,0.0023763,0.0023763,0.0023763
44,12409.9,1.07699,0.6182,0.9718,0.89887,0.94444,0.97007,0.72431,0.78078,0.41513,0.7536,0.00236145,0.00236145,0.00236145
45,12507.9,1.06521,0.61298,0.97039,0.91345,0.93011,0.96595,0.7254,0.78544,0.42091,0.75353,0.0023466,0.0023466,0.0023466
46,12606.1,1.0702,0.60865,0.99197,0.92401,0.94086,0.97217,0.73145,0.77488,0.41486,0.74898,0.00233175,0.00233175,0.00233175
47,12704.9,1.09011,0.64517,0.99148,0.91302,0.94053,0.96846,0.72762,0.78215,0.41539,0.75014,0.0023169,0.0023169,0.0023169
48,12803.2,1.05489,0.60893,0.96859,0.91591,0.93699,0.96832,0.73178,0.76441,0.41285,0.74738,0.00230205,0.00230205,0.00230205
49,12902.3,1.03143,0.59222,0.96691,0.91041,0.947,0.9668,0.73229,0.75876,0.40766,0.74532,0.0022872,0.0022872,0.0022872
50,13000.3,1.08199,0.61339,0.98122,0.90704,0.94803,0.96475,0.73351,0.7578,0.4071,0.74601,0.00227235,0.00227235,0.00227235
51,13099.3,1.05739,0.61244,0.97965,0.91204,0.94444,0.96702,0.73289,0.76024,0.4034,0.74479,0.0022575,0.0022575,0.0022575
52,13197.6,1.04843,0.62295,0.97662,0.91594,0.94624,0.96834,0.73148,0.75559,0.40515,0.7418,0.00224265,0.00224265,0.00224265
53,13295.9,1.06157,0.63007,0.97328,0.90505,0.96416,0.97137,0.7346,0.75295,0.40086,0.74036,0.0022278,0.0022278,0.0022278
54,13393.7,1.0207,0.58957,0.96824,0.89031,0.96006,0.96363,0.73525,0.74845,0.39952,0.74014,0.00221295,0.00221295,0.00221295
55,13491.4,1.03356,0.60571,0.95697,0.89773,0.9552,0.96564,0.73654,0.74871,0.39483,0.7398,0.0021981,0.0021981,0.0021981
56,13589.5,1.06778,0.60173,0.98375,0.89236,0.94624,0.96641,0.73668,0.75672,0.39629,0.74072,0.00218325,0.00218325,0.00218325
57,13688.2,1.04193,0.59015,0.96883,0.89995,0.95104,0.96797,0.74284,0.75137,0.39378,0.73753,0.0021684,0.0021684,0.0021684
58,13787.1,1.06004,0.60262,0.97034,0.90023,0.95402,0.97121,0.74429,0.74548,0.38923,0.73565,0.00215355,0.00215355,0.00215355
59,13886,1.02,0.58388,0.9575,0.90162,0.9526,0.97143,0.74524,0.74176,0.3868,0.73428,0.0021387,0.0021387,0.0021387
60,13985.4,1.04541,0.59242,0.97679,0.91265,0.95699,0.9733,0.74868,0.7358,0.38505,0.73334,0.00212385,0.00212385,0.00212385
61,14084.4,1.00828,0.56697,0.95453,0.90947,0.9552,0.97276,0.74942,0.73318,0.3827,0.73344,0.002109,0.002109,0.002109
62,14183.4,1.00702,0.59466,0.95912,0.90834,0.96057,0.9734,0.7514,0.72293,0.3818,0.73161,0.00209415,0.00209415,0.00209415
63,14282.1,1.0083,0.58303,0.96452,0.9026,0.96322,0.9749,0.75136,0.7228,0.3812,0.73202,0.0020793,0.0020793,0.0020793
64,14380.1,1.00778,0.58894,0.948,0.90059,0.96057,0.97557,0.75059,0.72553,0.37577,0.73301,0.00206445,0.00206445,0.00206445
65,14478.5,1.0501,0.58676,0.96664,0.90419,0.96406,0.97578,0.74948,0.72779,0.37827,0.73356,0.0020496,0.0020496,0.0020496
66,14576.5,0.98028,0.54719,0.95552,0.9034,0.96057,0.97469,0.75105,0.72821,0.38072,0.73282,0.00203475,0.00203475,0.00203475
67,14674.5,1.01009,0.57382,0.94706,0.8994,0.96416,0.97608,0.75369,0.72563,0.38033,0.73094,0.0020199,0.0020199,0.0020199
68,14772.7,0.99532,0.54701,0.94854,0.90591,0.96595,0.97768,0.75534,0.72428,0.37779,0.72993,0.00200505,0.00200505,0.00200505
69,14871.1,1.00927,0.55887,0.95245,0.91148,0.95954,0.97657,0.75233,0.72435,0.37675,0.72952,0.0019902,0.0019902,0.0019902
70,14970.1,0.99142,0.55328,0.94632,0.90855,0.96143,0.97727,0.75482,0.72514,0.37553,0.72975,0.00197535,0.00197535,0.00197535
71,15070,0.97316,0.53681,0.9534,0.906,0.96774,0.97736,0.7562,0.72423,0.37288,0.73025,0.0019605,0.0019605,0.0019605
72,15169,1.00017,0.55294,0.94548,0.90198,0.97849,0.9766,0.75676,0.72389,0.37175,0.72972,0.00194565,0.00194565,0.00194565
73,15268.2,0.97277,0.54977,0.95372,0.90535,0.97715,0.97613,0.7572,0.72063,0.37142,0.72871,0.0019308,0.0019308,0.0019308
74,15367.5,0.97487,0.56552,0.93708,0.90788,0.97133,0.97624,0.75789,0.72049,0.37129,0.72859,0.00191595,0.00191595,0.00191595
75,15466.1,0.98827,0.55386,0.95049,0.90654,0.97348,0.97684,0.75931,0.71999,0.37149,0.72818,0.0019011,0.0019011,0.0019011
76,15564.4,0.98924,0.5413,0.96185,0.90522,0.97559,0.97671,0.75975,0.71927,0.371,0.72758,0.00188625,0.00188625,0.00188625
77,15662.4,0.9534,0.53742,0.93238,0.90596,0.97312,0.97725,0.75945,0.72123,0.37048,0.7277,0.0018714,0.0018714,0.0018714
78,15759.8,0.9923,0.57563,0.95112,0.9071,0.96774,0.9778,0.76122,0.72084,0.37035,0.7277,0.00185655,0.00185655,0.00185655
79,15857.5,0.97233,0.57225,0.93395,0.91002,0.96595,0.97774,0.76059,0.72086,0.3703,0.72746,0.0018417,0.0018417,0.0018417
80,15955.4,0.97993,0.54405,0.94353,0.91035,0.96453,0.97801,0.76076,0.71896,0.36931,0.727,0.00182685,0.00182685,0.00182685
81,16054,0.98881,0.5362,0.95049,0.91075,0.96416,0.97818,0.76133,0.71763,0.36834,0.7266,0.001812,0.001812,0.001812
82,16152.7,0.95405,0.52798,0.9332,0.91213,0.96416,0.97831,0.76233,0.71712,0.36741,0.72659,0.00179715,0.00179715,0.00179715
83,16251.8,0.94446,0.52466,0.94331,0.9088,0.96435,0.97839,0.76325,0.71624,0.36605,0.72623,0.0017823,0.0017823,0.0017823
84,16351.1,0.96173,0.52687,0.94766,0.90928,0.96416,0.97822,0.76588,0.71451,0.3648,0.72624,0.00176745,0.00176745,0.00176745
85,16450.1,0.95556,0.54013,0.93818,0.91192,0.96483,0.97831,0.76561,0.71386,0.36438,0.72611,0.0017526,0.0017526,0.0017526
86,16549.1,0.93396,0.51037,0.93003,0.90291,0.97312,0.9784,0.76571,0.71412,0.36391,0.72581,0.00173775,0.00173775,0.00173775
87,16647.9,0.96221,0.52257,0.94276,0.90243,0.97312,0.97857,0.76568,0.71313,0.36281,0.72568,0.0017229,0.0017229,0.0017229
88,16746.5,0.93974,0.52789,0.93751,0.9007,0.97537,0.97856,0.76501,0.71322,0.36234,0.72549,0.00170805,0.00170805,0.00170805
89,16844.8,0.93742,0.50737,0.93307,0.91132,0.96237,0.97859,0.76641,0.71283,0.36162,0.72524,0.0016932,0.0016932,0.0016932
90,16942.5,0.9551,0.51841,0.9368,0.91158,0.96237,0.9787,0.76616,0.71146,0.36065,0.72479,0.00167835,0.00167835,0.00167835
91,17040.4,0.92125,0.51915,0.92223,0.91173,0.96252,0.97882,0.76759,0.70993,0.35995,0.72458,0.0016635,0.0016635,0.0016635
92,17138.9,0.95468,0.52048,0.93727,0.91175,0.96277,0.97885,0.76884,0.70948,0.35944,0.72421,0.00164865,0.00164865,0.00164865
93,17237.3,0.95576,0.54954,0.93238,0.91172,0.96238,0.97891,0.76788,0.70763,0.35783,0.72388,0.0016338,0.0016338,0.0016338
94,17336.3,0.91915,0.52716,0.93083,0.90034,0.97141,0.97911,0.76821,0.70705,0.35683,0.72358,0.00161895,0.00161895,0.00161895
95,17434.6,0.93274,0.52516,0.9193,0.90113,0.97133,0.97926,0.76839,0.70507,0.35639,0.72321,0.0016041,0.0016041,0.0016041
96,17533.1,0.9394,0.51152,0.92559,0.90041,0.97217,0.97939,0.76924,0.70496,0.35516,0.72294,0.00158925,0.00158925,0.00158925
97,17631.8,0.90981,0.51772,0.93166,0.90664,0.96953,0.97939,0.76886,0.70299,0.35465,0.72261,0.0015744,0.0015744,0.0015744
98,17730.2,0.94089,0.52871,0.91115,0.90694,0.96953,0.97953,0.77014,0.70242,0.35461,0.7224,0.00155955,0.00155955,0.00155955
99,17829.1,0.9217,0.51638,0.91747,0.91471,0.96102,0.97954,0.77004,0.70161,0.35384,0.7225,0.0015447,0.0015447,0.0015447
100,17926.8,0.91589,0.50646,0.90813,0.90535,0.96953,0.97969,0.76945,0.69972,0.35287,0.72186,0.00152985,0.00152985,0.00152985
101,18024.8,0.93756,0.52025,0.91924,0.91322,0.96176,0.97957,0.77127,0.6995,0.35253,0.72165,0.001515,0.001515,0.001515
102,18123.1,0.92202,0.51816,0.9249,0.92493,0.94982,0.97974,0.77106,0.69971,0.35204,0.72165,0.00150015,0.00150015,0.00150015
103,18221.3,0.92514,0.50412,0.92996,0.92531,0.94803,0.97994,0.77214,0.69744,0.35107,0.72101,0.0014853,0.0014853,0.0014853
104,18319.9,0.93673,0.51468,0.93048,0.90341,0.96953,0.98015,0.77248,0.69802,0.35075,0.721,0.00147045,0.00147045,0.00147045
105,18418.4,0.91216,0.50682,0.92261,0.90642,0.97491,0.9808,0.77221,0.69773,0.35042,0.72092,0.0014556,0.0014556,0.0014556
106,18516.9,0.89773,0.49988,0.91374,0.9299,0.94624,0.98061,0.77271,0.69617,0.34963,0.7203,0.00144075,0.00144075,0.00144075
107,18616,0.92878,0.51146,0.93526,0.91497,0.96417,0.98051,0.77244,0.69514,0.34869,0.72024,0.0014259,0.0014259,0.0014259
108,18714.6,0.91305,0.50819,0.92242,0.91497,0.96416,0.98047,0.77327,0.69336,0.34863,0.71964,0.00141105,0.00141105,0.00141105
109,18813.2,0.90124,0.49409,0.91642,0.91468,0.96416,0.98057,0.7746,0.69248,0.34828,0.71949,0.0013962,0.0013962,0.0013962
110,18911.3,0.90246,0.4787,0.92978,0.91384,0.96939,0.98064,0.77456,0.69147,0.34711,0.71913,0.00138135,0.00138135,0.00138135
111,19009.3,0.88153,0.47759,0.90693,0.91381,0.96899,0.98065,0.77555,0.69199,0.34727,0.71918,0.0013665,0.0013665,0.0013665
112,19107.9,0.88122,0.4859,0.90461,0.91328,0.96774,0.98057,0.77626,0.69016,0.34714,0.71869,0.00135165,0.00135165,0.00135165
113,19205.7,0.89589,0.50418,0.91936,0.91211,0.96953,0.98075,0.7763,0.68995,0.3473,0.71838,0.0013368,0.0013368,0.0013368
114,19303.9,0.89292,0.47541,0.90607,0.91116,0.96774,0.98062,0.77681,0.68907,0.34649,0.71806,0.00132195,0.00132195,0.00132195
115,19402.3,0.90347,0.49388,0.92528,0.91496,0.96416,0.98073,0.77658,0.68836,0.34622,0.71787,0.0013071,0.0013071,0.0013071
116,19500.5,0.90142,0.5063,0.91459,0.91451,0.96416,0.98078,0.77728,0.68643,0.34566,0.71735,0.00129225,0.00129225,0.00129225
117,19599.7,0.90233,0.49671,0.90744,0.91614,0.96416,0.98087,0.77688,0.68612,0.34524,0.71743,0.0012774,0.0012774,0.0012774
118,19697.9,0.88148,0.49418,0.90948,0.91199,0.96953,0.98103,0.77775,0.68426,0.34438,0.71716,0.00126255,0.00126255,0.00126255
119,19797.3,0.87553,0.49294,0.90749,0.91068,0.96953,0.98117,0.77837,0.6842,0.34395,0.71703,0.0012477,0.0012477,0.0012477
120,19895.7,0.87629,0.47382,0.90865,0.91194,0.96953,0.98122,0.77849,0.68334,0.34286,0.71675,0.00123285,0.00123285,0.00123285
121,19994.2,0.86244,0.48233,0.91422,0.93453,0.94086,0.98105,0.77804,0.68279,0.34194,0.71648,0.001218,0.001218,0.001218
122,20092.6,0.88129,0.48287,0.90528,0.93609,0.94498,0.98136,0.77961,0.68315,0.34095,0.71618,0.00120315,0.00120315,0.00120315
