epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.232,1.90543,5.31202,1.40294,0.72018,0.62681,0.67642,0.41766,1.4008,1.13701,1.08564,0.00332982,0.00332982,0.00332982
2,285.425,1.81692,1.52916,1.32183,0.7168,0.67247,0.7321,0.36622,1.50736,1.13589,1.16331,0.00663017,0.00663017,0.00663017
3,418.653,1.91797,1.63439,1.40548,0.37991,0.23985,0.19929,0.07937,1.91962,6.42766,1.41183,0.00989752,0.00989752,0.00989752
4,550.287,1.87786,1.49477,1.37751,0.79755,0.58672,0.70988,0.407,1.41246,1.04404,1.08066,0.0098515,0.0098515,0.0098515
5,682.011,1.69726,1.26351,1.27488,0.79511,0.71597,0.83715,0.47995,1.32702,0.86468,1.05352,0.009802,0.009802,0.009802
6,814.728,1.63372,1.1738,1.2242,0.83355,0.7786,0.86927,0.52091,1.31172,0.79564,1.03754,0.0097525,0.0097525,0.0097525
7,946.794,1.57099,1.11286,1.19449,0.88156,0.67159,0.82616,0.52491,1.25312,0.81996,0.99697,0.009703,0.009703,0.009703
8,1078.5,1.52472,1.05759,1.17793,0.77352,0.81181,0.88793,0.56081,1.23688,0.79681,0.98153,0.0096535,0.0096535,0.0096535
9,1210.75,1.44972,1.01213,1.13624,0.65314,0.63926,0.67485,0.39579,1.37095,1.70015,1.07231,0.009604,0.009604,0.009604
10,1342.63,1.46242,0.99263,1.14698,0.8856,0.69373,0.82551,0.53007,1.23318,0.90818,0.97765,0.0095545,0.0095545,0.0095545
11,1474.25,1.42398,0.93176,1.12261,0.84581,0.78942,0.88498,0.56566,1.20584,0.72416,0.95275,0.009505,0.009505,0.009505
12,1606.77,1.39946,0.90904,1.10504,0.86477,0.80812,0.91946,0.58165,1.21679,0.76039,0.95355,0.0094555,0.0094555,0.0094555
13,1738.9,1.36054,0.87609,1.10109,0.8066,0.78229,0.87198,0.55321,1.1413,0.73924,0.93086,0.009406,0.009406,0.009406
14,1870.69,1.38601,0.93038,1.09853,0.80948,0.79961,0.87774,0.57399,1.14459,0.68853,0.93476,0.0093565,0.0093565,0.0093565
15,2003.13,1.31861,0.8482,1.08144,0.82475,0.87823,0.93676,0.61231,1.1185,0.64495,0.91257,0.009307,0.009307,0.009307
16,2134.83,1.33382,0.8637,1.08635,0.79077,0.90406,0.92889,0.61989,1.12558,0.62433,0.91628,0.0092575,0.0092575,0.0092575
17,2266.84,1.31187,0.84584,1.07693,0.82418,0.8524,0.92117,0.63371,1.06442,0.62757,0.89649,0.009208,0.009208,0.009208
18,2398.99,1.32743,0.83276,1.08468,0.85095,0.92697,0.94516,0.60755,1.10154,0.61348,0.91352,0.0091585,0.0091585,0.0091585
19,2530.75,1.30712,0.84483,1.07088,0.77239,0.87454,0.90831,0.61527,1.11734,0.65792,0.91293,0.009109,0.009109,0.009109
20,2662.61,1.2914,0.81782,1.07268,0.84035,0.91144,0.94416,0.6396,1.06958,0.60582,0.89195,0.0090595,0.0090595,0.0090595
21,2794.19,1.25568,0.81101,1.05337,0.85189,0.89299,0.95217,0.65379,1.07485,0.61368,0.88866,0.00901,0.00901,0.00901
22,2926.03,1.26795,0.7722,1.0623,0.84184,0.92313,0.93919,0.6413,1.068,0.60698,0.89232,0.0089605,0.0089605,0.0089605
23,3058.12,1.24647,0.77575,1.03588,0.88562,0.9143,0.95884,0.66171,1.02105,0.56002,0.87562,0.008911,0.008911,0.008911
24,3189.4,1.24565,0.77835,1.03642,0.83833,0.93758,0.95324,0.66514,1.03346,0.5854,0.88205,0.0088615,0.0088615,0.0088615
25,3321.8,1.26369,0.77704,1.06094,0.8552,0.94834,0.95751,0.65841,1.0369,0.5558,0.8825,0.008812,0.008812,0.008812
26,3450.27,1.22676,0.75063,1.04256,0.87969,0.94834,0.96005,0.66771,1.00998,0.53127,0.86435,0.0087625,0.0087625,0.0087625
27,3552.14,1.22073,0.77939,1.03576,0.86826,0.93358,0.95524,0.68272,0.98166,0.54374,0.85803,0.008713,0.008713,0.008713
28,3654.04,1.23085,0.76919,1.03589,0.86551,0.92613,0.95641,0.66919,1.02642,0.55009,0.87369,0.0086635,0.0086635,0.0086635
29,3755.98,1.22975,0.78343,1.04096,0.84561,0.92967,0.95789,0.66218,1.0369,0.55129,0.87476,0.008614,0.008614,0.008614
30,3857.55,1.22928,0.76812,1.02743,0.88505,0.93756,0.96593,0.68204,0.98614,0.53333,0.86199,0.0085645,0.0085645,0.0085645
31,3959.26,1.22623,0.75112,1.02117,0.87033,0.94119,0.96583,0.68463,1.00452,0.51894,0.85573,0.008515,0.008515,0.008515
32,4061.37,1.21489,0.72815,1.04348,0.90206,0.91882,0.96644,0.68913,0.9712,0.50369,0.85072,0.0084655,0.0084655,0.0084655
33,4163.29,1.18334,0.71717,1.03006,0.9067,0.93358,0.97024,0.68564,0.99547,0.5064,0.85708,0.008416,0.008416,0.008416
34,4265.38,1.18424,0.71824,1.03012,0.90379,0.93594,0.97032,0.69042,0.9867,0.49692,0.85538,0.0083665,0.0083665,0.0083665
35,4367.23,1.18699,0.71234,1.02189,0.89187,0.94353,0.96717,0.69559,0.94843,0.5033,0.84887,0.008317,0.008317,0.008317
