epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.093,1.74686,1.90136,1.28571,0.65907,0.56692,0.63357,0.33406,0.75426,1.2933,0.53076,0.0667982,9.99051e-05,9.99051e-05
2,489.625,1.53296,1.17765,1.17772,0.69477,0.64514,0.73915,0.45474,0.63565,0.71901,0.47009,0.0335642,0.000199245,0.000199245
3,725.467,1.45777,1.07229,1.13806,0.78221,0.74486,0.83299,0.51369,0.62179,0.51006,0.46847,0.000329551,0.000297926,0.000297926
4,960.271,1.42176,1.02292,1.11504,0.84192,0.81593,0.87986,0.55381,0.62215,0.59383,0.45888,0.00029703,0.00029703,0.00029703
5,1194.55,1.35081,0.945,1.09587,0.90294,0.7243,0.85846,0.56536,0.59728,0.50679,0.44796,0.00029604,0.00029604,0.00029604
6,1428.44,1.31196,0.90047,1.06403,0.85039,0.87492,0.92557,0.59958,0.56595,0.48077,0.43845,0.00029505,0.00029505,0.00029505
7,1661.05,1.24451,0.83168,1.03507,0.83863,0.87047,0.91928,0.61977,0.55294,0.34814,0.43145,0.00029406,0.00029406,0.00029406
8,1893.37,1.28393,0.84501,1.06501,0.84302,0.84591,0.91438,0.62303,0.52807,0.36392,0.42702,0.00029307,0.00029307,0.00029307
9,2126.25,1.24839,0.79919,1.05288,0.845,0.8939,0.92813,0.65201,0.50948,0.35351,0.41635,0.00029208,0.00029208,0.00029208
10,2359.03,1.18571,0.76218,1.02142,0.87498,0.8789,0.93331,0.64047,0.53159,0.34031,0.42447,0.00029109,0.00029109,0.00029109
11,2591.81,1.1875,0.76145,1.02841,0.85768,0.89739,0.93377,0.64956,0.5047,0.31442,0.40947,0.0002901,0.0002901,0.0002901
12,2824.77,1.17935,0.75863,1.01477,0.81619,0.90492,0.93374,0.65197,0.49036,0.359,0.40764,0.00028911,0.00028911,0.00028911
13,3057.65,1.15665,0.73572,1.01419,0.86625,0.89846,0.93985,0.66052,0.47608,0.29186,0.40668,0.00028812,0.00028812,0.00028812
14,3291.16,1.13645,0.70987,1.0038,0.88035,0.92214,0.9595,0.67942,0.4801,0.33356,0.40282,0.00028713,0.00028713,0.00028713
15,3523.84,1.1389,0.70454,1.00345,0.8657,0.92321,0.95559,0.67849,0.48921,0.2864,0.40686,0.00028614,0.00028614,0.00028614
16,3756.55,1.15383,0.70564,1.00733,0.9009,0.93793,0.967,0.69699,0.46402,0.30173,0.39765,0.00028515,0.00028515,0.00028515
17,3989.5,1.12587,0.68984,1.00554,0.91045,0.93936,0.96576,0.69415,0.46999,0.27904,0.3997,0.00028416,0.00028416,0.00028416
18,4221.64,1.10888,0.69675,1.00121,0.8785,0.91317,0.9528,0.70046,0.44973,0.27254,0.39357,0.00028317,0.00028317,0.00028317
19,4454.75,1.10676,0.68601,0.98978,0.90043,0.92106,0.96167,0.70115,0.46069,0.27505,0.39432,0.00028218,0.00028218,0.00028218
