epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.009,1.89485,2.1886,1.37046,0.76153,0.60156,0.68049,0.38806,0.74286,1.13413,0.54471,0.0670313,0.000333017,0.000333017
2,493.87,1.77827,1.46623,1.30816,0.63873,0.53104,0.5932,0.29169,0.7818,4.1675,0.55125,0.0340291,0.000664151,0.000664151
3,729.58,1.6726,1.333,1.23916,0.76107,0.6366,0.75459,0.45832,0.66621,0.70383,0.48616,0.00102471,0.000993086,0.000993086
4,964.202,1.58596,1.189,1.1876,0.52339,0.57051,0.5576,0.28796,0.78461,0.97422,0.54915,0.0009901,0.0009901,0.0009901
5,1198.56,1.49015,1.0832,1.15554,0.79472,0.70111,0.77543,0.49003,0.69091,0.72234,0.49204,0.0009868,0.0009868,0.0009868
6,1432.55,1.43977,1.04178,1.12053,0.73593,0.86795,0.87001,0.55385,0.59506,0.53751,0.45638,0.0009835,0.0009835,0.0009835
7,1664.91,1.35663,0.93222,1.08234,0.82812,0.75135,0.85211,0.534,0.64333,0.43557,0.47096,0.0009802,0.0009802,0.0009802
8,1897.54,1.36534,0.94563,1.0977,0.8449,0.85935,0.92482,0.60096,0.56442,0.36776,0.44081,0.0009769,0.0009769,0.0009769
9,2130.84,1.36499,0.91532,1.09396,0.8713,0.85899,0.92987,0.62338,0.52372,0.36825,0.42918,0.0009736,0.0009736,0.0009736
10,2363.86,1.29481,0.82965,1.06408,0.86227,0.89627,0.93737,0.60859,0.54741,0.38483,0.43,0.0009703,0.0009703,0.0009703
11,2597.51,1.29397,0.85387,1.06735,0.84786,0.86365,0.91517,0.60369,0.56034,0.4201,0.4377,0.000967,0.000967,0.000967
12,2829.94,1.26578,0.82381,1.04536,0.84864,0.89928,0.93987,0.63905,0.51475,0.40068,0.41782,0.0009637,0.0009637,0.0009637
13,3063.07,1.24827,0.82021,1.04635,0.87395,0.89953,0.93166,0.64662,0.51164,0.38218,0.41405,0.0009604,0.0009604,0.0009604
14,3296.68,1.21693,0.77061,1.03014,0.88162,0.88088,0.94134,0.63711,0.51352,0.45963,0.41812,0.0009571,0.0009571,0.0009571
15,3529.21,1.22278,0.78341,1.0279,0.82749,0.85023,0.9129,0.62605,0.51626,0.35957,0.419,0.0009538,0.0009538,0.0009538
16,3761.78,1.20994,0.74165,1.02882,0.89392,0.90409,0.95383,0.66517,0.50057,0.31799,0.41604,0.0009505,0.0009505,0.0009505
17,3994.32,1.20414,0.75779,1.03918,0.87972,0.9164,0.94777,0.67447,0.47411,0.28582,0.40155,0.0009472,0.0009472,0.0009472
18,4227.11,1.19048,0.74812,1.02545,0.88636,0.90395,0.95321,0.68272,0.46179,0.29031,0.40252,0.0009439,0.0009439,0.0009439
19,4460.3,1.17922,0.73281,1.01308,0.88738,0.91245,0.95029,0.68117,0.48635,0.30185,0.40751,0.0009406,0.0009406,0.0009406
20,4692.74,1.16749,0.70961,1.01369,0.90733,0.92142,0.96391,0.69857,0.45465,0.27027,0.39675,0.0009373,0.0009373,0.0009373
21,4925.59,1.14915,0.70009,1.0182,0.88701,0.92104,0.95193,0.68749,0.46786,0.28786,0.39971,0.000934,0.000934,0.000934
22,5158.02,1.17074,0.72955,1.01171,0.89534,0.93721,0.96049,0.70022,0.457,0.28779,0.3974,0.0009307,0.0009307,0.0009307
23,5390.59,1.15321,0.72481,1.0033,0.89602,0.92357,0.96072,0.70316,0.46539,0.26806,0.39628,0.0009274,0.0009274,0.0009274
24,5622.88,1.16298,0.69551,1.00113,0.91089,0.92393,0.96691,0.71266,0.4491,0.25472,0.39408,0.0009241,0.0009241,0.0009241
25,5855.7,1.13882,0.70307,1.00058,0.91089,0.93577,0.9682,0.71258,0.4517,0.27556,0.3928,0.0009208,0.0009208,0.0009208
26,6088,1.12505,0.68572,0.99296,0.89558,0.94367,0.96812,0.71464,0.43793,0.26047,0.38893,0.0009175,0.0009175,0.0009175
27,6320.13,1.12352,0.67738,0.9912,0.90121,0.93285,0.96916,0.71962,0.4357,0.25935,0.3866,0.0009142,0.0009142,0.0009142
28,6552.55,1.10108,0.67211,0.99204,0.9176,0.92824,0.97188,0.72687,0.42853,0.24562,0.38513,0.0009109,0.0009109,0.0009109
29,6785.12,1.08877,0.64792,0.98404,0.91953,0.93479,0.97326,0.7274,0.43185,0.24422,0.38464,0.0009076,0.0009076,0.0009076
30,7017.49,1.10992,0.69295,0.98808,0.90357,0.9313,0.96699,0.71816,0.44235,0.26069,0.38702,0.0009043,0.0009043,0.0009043
31,7249.95,1.09584,0.64775,0.99029,0.90856,0.939,0.97164,0.7336,0.42533,0.25162,0.38359,0.000901,0.000901,0.000901
32,7482.71,1.10358,0.66502,0.98709,0.93317,0.93196,0.9731,0.7358,0.4236,0.2508,0.38383,0.0008977,0.0008977,0.0008977
33,7715.14,1.1112,0.65027,1.00816,0.92522,0.93506,0.97643,0.74379,0.41566,0.23068,0.38062,0.0008944,0.0008944,0.0008944
34,7947.8,1.0755,0.65138,0.97058,0.92271,0.93039,0.97611,0.74365,0.41698,0.2269,0.37934,0.0008911,0.0008911,0.0008911
35,8179.94,1.05397,0.64336,0.9783,0.91656,0.94833,0.97488,0.74235,0.41414,0.23203,0.37898,0.0008878,0.0008878,0.0008878
36,8411.95,1.0716,0.63123,0.98125,0.93179,0.93136,0.97732,0.74529,0.41259,0.22635,0.37784,0.0008845,0.0008845,0.0008845
37,8644.14,1.04879,0.62353,0.9691,0.93321,0.92745,0.9769,0.7469,0.40874,0.22457,0.37711,0.0008812,0.0008812,0.0008812
38,8876.51,1.06165,0.64366,0.97171,0.92702,0.93438,0.97724,0.74903,0.40689,0.22616,0.37632,0.0008779,0.0008779,0.0008779
39,9109.1,1.06887,0.62074,0.98182,0.93256,0.94331,0.97904,0.75279,0.40222,0.22066,0.37567,0.0008746,0.0008746,0.0008746
40,9341.4,1.03796,0.60216,0.97537,0.92662,0.94654,0.97803,0.75205,0.40332,0.2193,0.37604,0.0008713,0.0008713,0.0008713
41,9573.35,1.03913,0.62246,0.97167,0.92579,0.95048,0.97935,0.75603,0.40413,0.21721,0.37543,0.000868,0.000868,0.000868
42,9805.28,1.01205,0.59059,0.96178,0.93804,0.95063,0.98177,0.75808,0.39985,0.21446,0.37414,0.0008647,0.0008647,0.0008647
43,10037.6,1.02857,0.60132,0.96476,0.93501,0.9512,0.98105,0.75832,0.39927,0.21537,0.37332,0.0008614,0.0008614,0.0008614
44,10269.8,1.0242,0.58608,0.9669,0.93749,0.94761,0.98043,0.76037,0.39558,0.21227,0.37269,0.0008581,0.0008581,0.0008581
45,10502.3,1.0246,0.59264,0.95768,0.93548,0.95209,0.98075,0.75986,0.39563,0.21394,0.37243,0.0008548,0.0008548,0.0008548
46,10734.3,1.00343,0.56475,0.95819,0.93953,0.94833,0.98243,0.76252,0.39224,0.21178,0.37118,0.0008515,0.0008515,0.0008515
47,10966.7,0.99714,0.58254,0.95346,0.94582,0.94581,0.98334,0.7653,0.38935,0.21106,0.36994,0.0008482,0.0008482,0.0008482
48,11199,1.01191,0.59016,0.95776,0.94316,0.94659,0.98233,0.76611,0.38887,0.20954,0.36972,0.0008449,0.0008449,0.0008449
49,11431.4,1.0092,0.5707,0.96214,0.94014,0.95232,0.98282,0.76744,0.38751,0.20904,0.36937,0.0008416,0.0008416,0.0008416
50,11663.5,1.0096,0.59117,0.95538,0.93859,0.95551,0.98303,0.76941,0.38543,0.20788,0.36881,0.0008383,0.0008383,0.0008383
51,11896,0.98833,0.57726,0.94226,0.93419,0.95658,0.98269,0.77196,0.38299,0.20609,0.36828,0.000835,0.000835,0.000835
52,12128.3,1.01344,0.58013,0.95175,0.93346,0.95945,0.98306,0.77412,0.37976,0.20388,0.36775,0.0008317,0.0008317,0.0008317
53,12360.9,0.98378,0.5873,0.95589,0.94093,0.95447,0.98369,0.77392,0.37911,0.20357,0.36753,0.0008284,0.0008284,0.0008284
54,12593.2,0.99714,0.56407,0.96058,0.94057,0.95403,0.98386,0.77462,0.37795,0.20307,0.36704,0.0008251,0.0008251,0.0008251
55,12825.6,0.99735,0.57906,0.94357,0.94088,0.95443,0.98393,0.7772,0.37594,0.20163,0.36638,0.0008218,0.0008218,0.0008218
56,13057.8,0.99761,0.58038,0.9521,0.94396,0.95228,0.98403,0.77863,0.37475,0.20155,0.36606,0.0008185,0.0008185,0.0008185
57,13290.2,0.97706,0.54812,0.95256,0.94181,0.95335,0.98412,0.77935,0.37398,0.20114,0.36587,0.0008152,0.0008152,0.0008152
58,13522.6,0.97953,0.56835,0.93766,0.94528,0.95192,0.98443,0.77977,0.37267,0.19958,0.36558,0.0008119,0.0008119,0.0008119
59,13754.9,0.98578,0.55629,0.93917,0.94413,0.95264,0.9844,0.7808,0.37205,0.19893,0.3653,0.0008086,0.0008086,0.0008086
60,13987.4,0.97444,0.56129,0.95374,0.94347,0.95264,0.98452,0.78119,0.37123,0.19872,0.3651,0.0008053,0.0008053,0.0008053
