epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.127,1.96728,4.10352,1.48064,0.76922,0.72711,0.78829,0.47227,1.13862,0.86279,0.84414,0.067705,0.000998815,0.000998815
2,205.384,1.49944,1.17256,1.13654,0.71418,0.69838,0.76366,0.43456,1.27888,0.85524,0.93202,0.0353617,0.00198892,0.00198892
3,302.228,1.61866,1.24237,1.19543,0.57981,0.57451,0.59116,0.2906,1.45233,1.26276,1.06614,0.00300862,0.00296913,0.00296913
4,398.205,1.68961,1.2994,1.25503,0.74692,0.66068,0.744,0.41467,1.29341,0.91493,0.96122,0.00295545,0.00295545,0.00295545
5,493.894,1.62869,1.21401,1.2267,0.8073,0.76481,0.8599,0.546,1.08371,0.68743,0.84537,0.0029406,0.0029406,0.0029406
6,589.815,1.57405,1.07363,1.19055,0.71702,0.70056,0.78004,0.42015,1.17767,0.91085,0.89162,0.00292575,0.00292575,0.00292575
7,685.517,1.51876,1.0348,1.16054,0.80363,0.83662,0.87401,0.54567,1.05892,0.70565,0.82179,0.0029109,0.0029109,0.0029109
8,781.133,1.46525,1.01107,1.15027,0.90448,0.67325,0.81362,0.48691,1.14931,0.85932,0.87493,0.00289605,0.00289605,0.00289605
9,876.752,1.45026,0.96723,1.15509,0.86672,0.77199,0.88724,0.57145,1.05179,0.63563,0.82479,0.0028812,0.0028812,0.0028812
10,972.207,1.4146,0.92742,1.11757,0.78906,0.87074,0.8977,0.55786,1.01156,0.64309,0.80973,0.00286635,0.00286635,0.00286635
11,1068.06,1.36717,0.89975,1.10655,0.83794,0.80969,0.89872,0.57521,0.97241,0.57988,0.78956,0.0028515,0.0028515,0.0028515
12,1163.88,1.3897,0.88876,1.10285,0.74371,0.74327,0.83246,0.54285,1.01323,0.71363,0.80195,0.00283665,0.00283665,0.00283665
13,1259.59,1.30407,0.83149,1.07445,0.83518,0.86715,0.91726,0.6202,0.93554,0.54562,0.7714,0.0028218,0.0028218,0.0028218
14,1355.45,1.31549,0.8354,1.07947,0.83155,0.86176,0.91669,0.58708,1.02055,0.60564,0.81061,0.00280695,0.00280695,0.00280695
15,1451.28,1.29736,0.78245,1.06649,0.87008,0.89767,0.93722,0.62328,0.96349,0.52078,0.77876,0.0027921,0.0027921,0.0027921
16,1546.89,1.26299,0.78429,1.05018,0.86995,0.88869,0.94571,0.63894,0.94285,0.52738,0.76816,0.00277725,0.00277725,0.00277725
17,1642.76,1.26099,0.77844,1.05026,0.84057,0.88689,0.93529,0.64097,0.88557,0.51472,0.7503,0.0027624,0.0027624,0.0027624
18,1738.42,1.24091,0.78429,1.05064,0.85548,0.90126,0.93023,0.65337,0.87142,0.50509,0.74045,0.00274755,0.00274755,0.00274755
19,1833.74,1.2298,0.76712,1.0452,0.87722,0.87792,0.93812,0.63787,0.92807,0.52541,0.77004,0.0027327,0.0027327,0.0027327
20,1928.72,1.22994,0.75675,1.04235,0.86654,0.88593,0.93355,0.65016,0.88939,0.50207,0.74619,0.00271785,0.00271785,0.00271785
21,2024.41,1.23032,0.77687,1.05038,0.87836,0.88152,0.94031,0.66437,0.88125,0.49739,0.73736,0.002703,0.002703,0.002703
22,2121.02,1.23473,0.76966,1.03595,0.85751,0.94002,0.94787,0.6522,0.8805,0.49289,0.75087,0.00268815,0.00268815,0.00268815
23,2345.53,1.21875,0.74064,1.03198,0.85955,0.90664,0.93426,0.64904,0.88364,0.5196,0.74353,0.0026733,0.0026733,0.0026733
24,2647.05,1.20248,0.73312,1.02465,0.88459,0.90826,0.95397,0.68421,0.81477,0.44503,0.72358,0.00265845,0.00265845,0.00265845
25,2945.26,1.17074,0.72403,1.00713,0.85226,0.91562,0.94666,0.68913,0.81579,0.45606,0.7243,0.0026436,0.0026436,0.0026436
26,3244.8,1.17658,0.71903,1.02168,0.88944,0.89548,0.94594,0.66069,0.86047,0.4852,0.73527,0.00262875,0.00262875,0.00262875
27,3540.46,1.18861,0.72536,1.02107,0.91696,0.91188,0.96822,0.69344,0.82793,0.4524,0.72615,0.0026139,0.0026139,0.0026139
28,3841.31,1.17159,0.678,1.02324,0.88708,0.94496,0.96183,0.69429,0.83026,0.44608,0.72788,0.00259905,0.00259905,0.00259905
29,4124.69,1.17289,0.6983,1.02783,0.89771,0.92101,0.95504,0.68124,0.82651,0.46377,0.72568,0.0025842,0.0025842,0.0025842
30,4425.45,1.17579,0.71106,1.01506,0.91579,0.92998,0.96722,0.70363,0.80118,0.417,0.71254,0.00256935,0.00256935,0.00256935
31,4723.78,1.13221,0.69666,0.99927,0.92468,0.91562,0.96542,0.70134,0.79894,0.43075,0.71981,0.0025545,0.0025545,0.0025545
