epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.183,0.88117,0.4898,0.9122,0.93718,0.93588,0.97851,0.74661,0.89451,0.44983,0.816,0.0700316,0.00332982,0.00332982
2,385.996,0.87639,0.48718,0.91379,0.92627,0.9631,0.98013,0.72856,0.90241,0.43777,0.82797,0.0394017,0.00603324,0.00603324
3,573.25,0.91626,0.4938,0.93089,0.93895,0.93727,0.98047,0.74079,0.90275,0.44926,0.81796,0.00661245,0.00657732,0.00657732
4,759.704,0.90557,0.48725,0.93061,0.95899,0.92251,0.98032,0.74997,0.88049,0.40258,0.81062,0.00352037,0.00352037,0.00352037
5,946.526,0.8481,0.45263,0.90389,0.9522,0.96679,0.98757,0.75817,0.84371,0.39728,0.80053,0.00104537,0.00104537,0.00104537
